rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
1556710301929168193,,253708,,1556709517,42510515,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710301929310684,,253709,,1556709517,95352871,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710301941210572,,253710,,1556709517,146617962,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710301990313530,,253711,,1556709517,195224740,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302038478857,,253712,,1556709517,242530658,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302088293488,,253713,,1556709517,293087969,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302139251857,,253714,,1556709517,343515906,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302189880808,,253715,,1556709517,394940898,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302239111417,,253716,,1556709517,443839529,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302287509464,,253717,,1556709517,492999075,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302339614090,,253718,,1556709517,543736911,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302390138186,,253719,,1556709517,594844988,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302438021364,,253720,,1556709517,642669035,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302491048079,,253721,,1556709517,695640408,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302536315789,,253722,,1556709517,742489893,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302589535994,,253723,,1556709517,793374670,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302637212223,,253724,,1556709517,843161531,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302687473330,,253725,,1556709517,892462582,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302738717877,,253726,,1556709517,943302023,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302789572750,,253727,,1556709517,995140360,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302836800608,,253728,,1556709518,42117623,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302887220394,,253729,,1556709518,93633027,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302939295066,,253730,,1556709518,144248130,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710302994950906,,253731,,1556709518,198969627,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303039794412,,253732,,1556709518,243779461,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303094008675,,253733,,1556709518,299755286,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303138884739,,253734,,1556709518,343777590,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303190168622,,253735,,1556709518,396664171,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303237196160,,253736,,1556709518,443647346,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303286302084,,253737,,1556709518,492890620,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303341920366,,253738,,1556709518,545627665,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303387539683,,253739,,1556709518,593732022,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303437403964,,253740,,1556709518,642385764,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303486940929,,253741,,1556709518,692396944,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303537531064,,253742,,1556709518,742494656,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303592140186,,253743,,1556709518,796199537,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303640228193,,253744,,1556709518,844297380,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303690913362,,253745,,1556709518,895161810,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303739318334,,253746,,1556709518,943363480,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303791876918,,253747,,1556709518,996090896,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303837925875,,253748,,1556709519,43017672,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303890762514,,253749,,1556709519,94634544,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303938463651,,253750,,1556709519,142964650,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710303989479677,,253751,,1556709519,195317766,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304037604449,,253752,,1556709519,243987368,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304088313916,,253753,,1556709519,292830276,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304138868257,,253754,,1556709519,342707930,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304188167049,,253755,,1556709519,394569173,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304238581925,,253756,,1556709519,442536490,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304288044905,,253757,,1556709519,492603679,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304337214728,,253758,,1556709519,542498890,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
